Time,Altitude,Speed,Drag,Drag x,Drag y,Drag z,Mass,Pitch,Heading,X Displacement,X Velocity,Y Velocity,Available Thrust Vertical,Available Thrust Horizontal,Thrust Vertical,Thrust Horizontal,Available Thrust,Thrust,Lift
4.340000000094733,105.82047648658045,8.991781437000698,995.8703863792595,-995.845834841327,0.8845499140252814,6.936661142471321,109756.046875,89.903076171875,307.78045654296875,4.027745059662266,0.06313875368203108,8.991559759495225,1373372.0349456132,2323.2531815031243,1373371.034947044,2323.2514898640065,1373374.0,1373373.0,15.153008736726076
4.460000000097352,106.92354040010832,9.321621780262067,1073.409046267409,-1073.3818873011937,0.9704161665981098,7.573830926253783,109702.203125,89.903076171875,311.36492919921875,4.313997427583672,0.06630980035744619,9.32138592831735,1373377.9099372071,2323.2631198829404,1373376.9099386379,2323.2614282438226,1373379.875,1373378.875,17.2408765432222
4.580000000099972,108.06624175142497,9.652275153073116,1155.747111264628,-1155.7171491513784,1.065794403500401,8.25351053992579,109648.359375,89.903076171875,314.9745788574219,4.6104395758593455,0.06950190188922216,9.652024923106366,1373384.1599282646,2323.273692627425,1373383.1599296953,2323.272000988308,1373386.125,1373385.125,19.657241784582787
4.720000000103028,109.44961555267219,10.038989567639053,1262.217528167327,-1262.1839414017297,1.1956111087380816,9.130005175712508,109585.5546875,89.903076171875,319.19781494140625,4.96919947169954,0.07323506981105449,10.038722436830072,1373391.6599175334,2323.286379920807,1373390.4099193218,2323.2842653719104,1373393.625,1373392.375,22.681226557353163
4.840000000105647,110.67851188743953,10.371231682133214,1355.1573431234501,-1355.1205149971188,1.3183846538012856,9.903348789992927,109531.7109375,89.89913940429688,322.8115539550781,5.287800331338076,0.07646053526863353,10.37094983070645,1373398.1220333995,2417.663168009108,1373396.9970351425,2417.6611876169654,1373400.25,1373399.125,25.034054739352452
4.960000000108266,111.94732379144989,10.704145409814602,1452.270446757973,-1452.230136041103,1.451767141824965,10.722633669393243,109477.875,89.903076171875,326.4058837890625,5.616657542443136,0.07975363661384532,10.703848294510806,1373405.034898396,2323.309005594005,1373403.9099000057,2323.307102499998,1373407.0,1373405.875,27.143333611313967
5.080000000110886,113.2561298836954,11.037702257840834,1553.3528323512842,-1553.308833062698,1.6013040308145907,11.581309449129465,109424.0234375,89.89913940429688,329.9681396484375,5.955786455975613,0.08307653371946125,11.03738961087674,1373411.9970119013,2417.687592845536,1373410.8720136445,2417.685612453393,1373414.125,1373413.0,29.59554214569954
5.200000000113505,114.6050053226063,11.371875098575915,1658.2700348545952,-1658.22210813899,1.7645669937347093,12.483384119273445,109370.1875,89.89913940429688,333.486328125,6.3052045986114535,0.08645799273032055,11.371546432790222,1373419.3720004745,2417.7005754162496,1373418.1220024112,2417.6983749805354,1373421.5,1373420.25,31.665464392126893
5.320000000116124,115.99402279756032,11.706640419046611,1767.1253558089697,-1767.0732654606247,1.941080238233525,13.428694829019653,109316.34375,89.89913940429688,336.9486083984375,6.664926331141032,0.08988537360191874,11.706295337145235,1373426.871988854,2417.713778030535,1373425.6219907906,2417.711577594821,1373429.0,1373427.75,34.01871510258484
5.440000000118744,117.42325024632737,12.041977060430423,1880.0656596360957,-1880.009165353131,2.1320575344391894,14.417942356700102,109262.5,89.89913940429688,340.3433837890625,7.034963950165547,0.09335235378172606,12.041615209845228,1373434.621976846,2417.7274207319633,1373433.2469789763,2417.7250002526775,1373436.75,1373435.375,36.32225917389055
