Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement
29,1461.8273330806232,97.11336225777893,4.0834554458506265,97.19917560035604,108234.40988946272,32.148358467063794
30,1562.3521735005352,100.52484041991181,4.515770158690509,100.62621786380952,114041.38261240593,36.6641286257543
31,1666.291995590199,103.9398220896638,4.97784549187896,104.05895233843162,119792.08765641165,41.64197411763326
32,1773.6510757929216,107.35908020272274,5.470723021553351,107.49837632426458,125469.05712398214,47.11269713918661
33,1884.4346360971163,110.78356030419471,5.995458159359701,110.94567477920795,131055.86287115842,53.10815529854631
34,1998.6490084428706,114.21437234575444,6.5531221970486095,114.40221265720383,136537.15803253808,59.661277495594916
35,2116.3017904713065,117.65278202843604,7.144804414995013,117.86952680468015,141898.70149150945,66.80608191058992
36,2237.401992311427,121.10020184012052,7.771614243858438,121.34931756575013,147127.36671411849,74.57769615444836
37,2361.96017423655,124.55818192512277,8.434683470257266,124.84344023510171,152211.136525167,83.01237962470563
38,2489.988575146678,128.02840091012817,9.135168479016532,128.3538964844641,157139.0855053128,92.14754810372216
39,2621.5012319432667,131.5126567965884,9.874252526213096,131.88282587451891,161901.3517337705,102.02180062993526
40,2756.5140899582866,135.01285801502002,10.653148038840918,135.43249754959632,166489.0995994226,112.67494866877618
41,2895.0451046801536,138.53101472186685,11.47309893841722,139.0053021978687,170894.47536106204,124.1480476071934
42,3037.114335085188,142.06923040503463,12.335382987219942,142.60374434537198,175110.55706260598,136.48343059441333
43,3182.7440289353563,145.62969385016837,13.241314157067759,146.23043503833233,179131.3003087855,149.7247447514811
44,3331.9587004418013,149.21467150644506,14.192245021612342,149.88808495517512,182951.48128795877,163.91698977309343
45,3484.785200720062,152.826500278261,15.189569174000704,153.5794979774093,186566.63829761458,179.10655894709413
46,3641.252781477881,156.46758075781864,16.23472367248037,157.30756523742363,189973.01289039484,195.34128261957449
47,3801.393152381212,160.14037090333133,17.329191517062704,161.07525965116915,193167.49161881447,212.67047413663718
48,3965.240532539601,163.8473801583892,18.47450416073393,164.88563093475636,196147.54921921357,231.1449782973711
